algo,sweep,n_seeds,welfare_mean,welfare_ci95,deaths_mean,deaths_ci95,unmet_mean,unmet_ci95,transfers_mean,transfers_ci95,gini_mean,gini_ci95,worst_capita_mean,worst_capita_ci95
ippo,weekly_supply_per_capita=1.0e-5,5,-363258.5114,1905.3362929702646,318786.0,1488.5294914420595,4447253.9,41684.6880718806,1003267.4400000001,18106.836658311073,0.087818,0.0295712348385792,0.0200996,0.00032385973867710046
mappo,weekly_supply_per_capita=1.0e-5,5,-366620.1824,1773.2452731429344,321412.8,1385.4644126668798,4520740.619999999,38772.753777853744,1174227.4400000002,38748.84785245695,0.071052,0.021425507964256067,0.0202742,0.00022471756865897363
peer,weekly_supply_per_capita=1.0e-5,5,-364842.3772,2705.3274789728057,320023.98,2114.0046056167103,4481835.46,59135.71066969055,1065289.8,17156.77031871004,0.062744,0.0155046798208025,0.020206599999999998,0.00040658573720188504
dqn,weekly_supply_per_capita=2.5e-4,5,-162973.26160000003,942.3595648341447,162291.8,736.2391963290229,68144.28,20607.89070730562,8325417.6,2832996.7389460197,0.029793999999999998,0.001608091313825181,0.0099924,0.00010531348297345439
ippo,weekly_supply_per_capita=2.5e-4,5,-162471.25160000002,1964.3943804606583,161899.56,1534.8124101857404,57170.280000000006,42958.81359135039,25792245.060000002,755835.7071849052,0.033974000000000004,0.007036950307171423,0.010136800000000001,0.00036541276176948095
mappo,weekly_supply_per_capita=2.5e-4,5,-162644.35599999997,997.0308032167558,162034.92,779.0216340260689,60946.86000000001,21796.085899492748,28851383.420000006,942511.6784565146,0.027374,0.00223220337639741,0.009931200000000001,0.0001085871840688387
peer,weekly_supply_per_capita=2.5e-4,5,-161495.19040000002,1476.2341375718327,161136.96000000002,1153.4336431109343,35827.82,32283.296879334128,26076363.2,531554.8019692887,0.031758,0.004596262268234918,0.010070600000000002,0.0002702658775650375
dqn,weekly_supply_per_capita=2.5e-5,5,-271166.25800000003,2393.0551852969716,246829.31999999998,1870.0491057207644,2433696.9200000004,52300.112667340436,226643.52000000002,20725.553015439087,0.103002,0.0021482386846903086,0.0162802,0.00015047056716846667
ippo,weekly_supply_per_capita=2.5e-5,5,-309932.61000000004,11353.928762133768,277120.18,8871.870415158908,3281239.28,248198.58483040633,2396609.5200000005,210470.18251145014,0.109548,0.03404974278960708,0.0181532,0.001244893101235603
mappo,weekly_supply_per_capita=2.5e-5,5,-315925.1508,2746.823925635566,281802.12,2145.822217830127,3412306.5,60107.626322510914,2785775.34,80276.68310115888,0.08721,0.019579389563518058,0.0184666,0.00043821567614132505
peer,weekly_supply_per_capita=2.5e-5,5,-308106.88320000004,6448.293804940305,275693.4,5038.611412184904,3241349.6,140970.27225343662,2482709.46,109535.96883366018,0.103666,0.018108781018544566,0.0180764,0.0008850385588526634
